车型,官方指导价,厂商,级别,能源类型,上市时间,发动机,纯电续航里程(km),充电时间(小时),快充电量(%),最大功率(kW),发动机最大扭矩(N·m),电动机最大扭矩(N·m),变速箱,长x宽x高(mm),车身结构,最高车速(km/h),官方百公里加速时间(s),NEDC综合油耗(L/100km),WLTC综合油耗(L/100km),百公里耗电量(kWh/100km),整车保修期限,6万公里保养总成本预估,宽(mm),高(mm),轴距(mm),前轮距(mm),后轮距(mm),最小离地间隙(mm),车门数(个),车门开启方式,座位数(个),整备质量(kg),最大载重质量(kg),满载质量(kg),油箱容积(L),行李舱容积(L),风阻系数(Cd),排量(mL),排量(L),进气形式,气缸排列形式,气缸数(个),每缸气门数(个),压缩比,配气机构,最大马力(Ps),最大功率转速(rpm),最大扭矩(N·m),最大扭矩转速(rpm),发动机特有技术,燃料形式,燃油标号,供油方式,缸盖材料,缸体材料,环保标准,电机类型,电动机总功率(kW),电动机总马力(Ps),电动机总扭矩(N·m),前电动机最大功率(kW),前电动机最大扭矩(N·m),后电动机最大功率(kW),后电动机最大扭矩(N·m),系统综合功率(kW),系统综合扭矩(N·m),驱动电机数,电机布局,电池组质保,电池容量(kWh),电池能量密度(Wh/kg),电池充电,电池温度管理系统,充电桩,挡位数,变速箱类型,四驱类型,中央差速器结构,前悬挂形式,后悬挂形式,转向类型,车体结构,后制动器类型,驻车制动类型
Manhart BMW X6 M 2021款 MHX6 700,-,Manhart,中大型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
标致P54 2022款 基本型,-,标致(进口),紧凑型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
HORNET 2022款 基本型,-,道奇(进口),紧凑型SUV,null,null,null,null,-,null,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
ocean-X 2021款 概念版,-,比亚迪,中型车,null,null,null,null,-,null,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
嘉远 2021款 基本型,-,猎豹汽车,微型车,null,null,null,null,-,null,null,,,null,null,两厢车,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
风光E380 2021款 基本型,-,东风小康,紧凑型MPV,null,null,null,null,-,null,null,,,null,null,MPV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
小康糖果 2021款 基本型,-,东风小康,微型车,null,null,null,null,-,null,null,,,null,null,两厢车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
问界M5 2022款 后驱标准版,25.98万,赛力斯汽车,中型SUV,增程式,2022.02,,200,"快充0.75小时
慢充5小时",80,92,,,电动车单速变速箱,4770x1930x1625,SUV,210,7.1,,,22.2,4年或10万公里,6880.0元,1930,1625,2880,1655,1650,150,5,平开门,5,2220,null,null,56,369-776,0.32,1499,1.5,涡轮增压,L,4,4,null,DOHC,125,null,205,null,null,增程式,95#,多点电喷,铝,未知,国VI b,永磁/同步,200,272,360,null,null,200,360,null,null,单电机,后置,8年或16万公里,40,null,"快充0.75小时
慢充5小时|快充接口",低温加热|液态冷却,选装1个|8000元,1,固定齿比变速箱,null,null,双叉臂式独立悬挂,多连杆式独立悬挂,电动助力,承载式,通风盘式,电子驻车
AmbienC3 2021款 概念型,-,Continental,中型MPV,null,null,null,null,-,null,null,,,null,null,MPV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
型格 2022款 240TURBO 专属MT版,12.99万,广汽本田,紧凑型车,汽油,2021.12,1.5T 182马力 L4,,,,134,,,6挡手动,4689x1802x1415,三厢车,208,null,,5.6,,3年或10万公里,null,1802,1415,2735,1547,1575,null,4,平开门,5,1312,null,1825,47,500,null,1498,1.5,涡轮增压,L,4,4,10.3,DOHC,182,6000,240,1700-4500,VTEC,汽油,92#,缸内直喷,铝,铝,国VI,,,,,,,,,,,,,,,,,,,6,手动变速箱(MT),null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,实心盘式,电子驻车
KHANN凯美瑞 2018款 HRS Classic,-,KHANN,中型车,null,null,null,,,,null,,,null,null,三厢车,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
龙猫 2022款 1.5L 跃动龙龙版,-,上汽集团,小型SUV,油电混合,null,1.5L 120马力 L4 油电混动,,,,88,,,E-CVT无级变速,4440x1810x1634,SUV,168,null,,5.8,null,待查,null,1810,1634,2625,1526,1539,null,5,平开门,5,1430,null,1865,45,383-1372,null,1498,1.5,自然吸气,L,4,4,null,DOHC,120,6000,150,4500,null,油电混合,92#,多点电喷,铝,铁,国VI,永磁/同步,70,95,200,70,200,null,null,134,350,单电机,前置,null,2.13,null,,,,无级变速,电子无级变速箱(E-CVT),null,null,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂,电动助力,承载式,实心盘式,电子驻车
E-Legend EL1 2021款 Concept,-,E-Legend,跑车,null,null,null,null,-,null,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
威飒 2022款 2.0L CVT两驱豪华版,21.68万,广汽丰田,中型SUV,汽油,2022.01,2.0L 171马力 L4,,,,126,209,null,CVT无级变速(模拟10挡),4780x1855x1660,SUV,175,null,5.9,6.5,null,3年或10万公里,null,1855,1660,2690,1607,1627,null,5,平开门,5,1585,null,2065,55,null,null,1987,2,自然吸气,L,4,4,13,DOHC,171,6600,209,4400-5000,VVT-i，VVT-iE,汽油,92#,混合喷射,铝,铝,国VI,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,无级变速,无级变速箱(CVT),null,null,麦弗逊式独立悬挂,双叉臂式独立悬挂,电动助力,承载式,实心盘式,电子驻车
拿铁DHT-PHEV 2022款 大杯,-,长城汽车,紧凑型SUV,null,2022.07,null,null,-,null,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
大众ID.LIFE 2021款 概念版,-,大众(进口),小型SUV,null,null,null,null,-,null,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Dacia Jogger 2021款 基本型,-,Dacia,紧凑型车,null,null,null,,,,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Mobilize EZ-1 2021款 Prototype,-, 雷诺(进口),微型车,null,null,null,null,-,null,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
百智大熊 2022款 10.36kWh 乐熊S 标准型,3.88万,领途汽车,微型车,纯电动,2021.12,,null,慢充8小时,null,29(39Ps),,,电动车单速变速箱,3390x1650x1595,两厢车,100,null,,,8.8,3年或6万公里,null,1650,1595,2275,1450,1450,120,5,平开门,4,770,null,1070,,null,null,,,,,,,,,,,110,,,,,,,,,永磁/同步,29,39,110,29,110,null,null,null,null,单电机,前置,8年或12万公里,10.36,95,慢充8小时,低温加热,null,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂,电动助力,承载式,鼓式,脚刹
梅甘娜EV 2021款 E-Tech Electric,-,雷诺(进口),紧凑型SUV,null,null,null,null,-,null,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Mobilize Limo 2021款 基本型,-, 雷诺(进口),紧凑型车,null,null,null,null,-,null,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
奔驰EQG 2021款 Concept,-,梅赛德斯-EQ,中大型SUV,null,null,null,null,-,null,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
大众PRID.3 2021款 基本型,-,大众(进口),紧凑型车,null,null,null,null,-,null,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Grandsphere 2022款 Concept,-,奥迪(进口),中型车,null,null,null,,,,null,,,null,null,轿车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
BMW i Vision Circular 2021款 概念型,-,宝马(进口),紧凑型车,null,null,null,null,-,null,null,,,null,null,三厢车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
现代CASPER 2021款 韩国版,-,现代(进口),小型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
申龙DST神州5号 2021款 纯电动厢式运输车41.86kWh,12.38万,申龙客车,微面,纯电动,2021.09,,null,"快充1.5小时
慢充15小时",80,60(82Ps),,,电动车单速变速箱,4495x1680x1990,货车,100,null,,,13.1,3年或8万公里,null,1680,1990,2925,1425,1435,160,5,平开门,2,1420,null,null,,null,,,,,,,,,,,,220,,,,,,,,,永磁/同步,60,82,220,null,null,60,220,null,null,单电机,后置,5年或20万公里,41.86,null,"快充接口|快充1.5小时
慢充15小时",null,null,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,整体桥式非独立悬挂,电动助力,承载式,鼓式,手刹
迈巴赫EQS SUV 2022款 Concept,-,梅赛德斯-迈巴赫,中大型SUV,null,null,null,null,-,null,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
smart精灵#1 2022款 Pure+,18.16万,smart,小型SUV,纯电动,2022.06,,535,"快充0.5小时
慢充7.5小时",80,200(272Ps),,,电动车单速变速箱,4270x1822x1636,SUV,180,6.7,,,13.4,4年或15万公里,null,1822,1636,2750,1581,1586,null,5,平开门,5,1770,null,2160,,338-1001,null,,,,,,,,,,,343,,,,,,,,,永磁/同步,200,272,343,null,null,200,343,null,null,单电机,后置,8年或15万公里,66,184.4,"快充0.5小时
慢充7.5小时|快充接口",低温加热|液态冷却,选配,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,实心盘式,电子驻车
Commander 2021款 Overland T270 拉美版,-,Jeep(进口),中型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
瑞风L5 2022款 2.0T 自动商务版,15.58万,江汽集团,中型MPV,汽油,2021.12,2.0T 222马力 L4,,,,163,,,6挡手自一体,5120x1840x1970,MPV,170,null,9.9,,,3年或10万公里,null,1840,1970,3080,1570,1545,160,5,侧滑门,7,2200,null,2800,70,null,,1998,2,涡轮增压,L,4,4,null,DOHC,222,5500,385,1500-3500,null,汽油,92#,缸内直喷,铝,铁,国VI,,,,,,,,,,,,,,,,,,,6,手自一体变速箱(AT),null,null,双叉臂式独立悬挂,整体桥式非独立悬挂,电动助力,承载式,实心盘式,手刹
铂驰维努斯 2021款 2.0T NOVA星航,148.8万,星驰汽车,中型MPV,汽油,2021.08,2.0T 211马力 L4,,,,155,,,9挡手自一体,5400x1928x1970,MPV,185,null,9.1,,,3年不限公里,null,1928,1970,3430,null,null,null,5,侧滑门,7,2640,null,null,70,null,,1991,2,涡轮增压,L,4,4,null,DOHC,211,5500,350,1500-4000,null,汽油,95#,缸内直喷,铝,铝,国VI,,,,,,,,,,,,,,,,,,,9,手自一体变速箱(AT),null,null,麦弗逊式独立悬挂,半拖式独立悬挂,电动助力,承载式,实心盘式,电子驻车
奔驰GLA PHEV 2021款 GLA 260e,-,北京奔驰,紧凑型SUV,插电式混合动力,null,1.5T 180马力 L4 插电式混动,51,-,null,null,null,null,null,4427x1834x1610,SUV,null,null,,,null,null,null,1834,1610,2729,null,null,null,null,null,null,null,null,null,null,null,null,null,1.5,涡轮增压,L,4,4,null,DOHC,null,null,null,null,null,插电式混合动力,95#,缸内直喷,铝,铝,国VI,永磁/同步,160,218,null,74,null,null,null,null,null,单电机,前置,首任车主不限年限/不限里程,9.4,null,null,null,null,null,null,null,null,null,null,null,null,null,null
揽胜极光PHEV 2022款 极光L P300e,44.58万,奇瑞捷豹路虎,中型SUV,插电式混合动力,2021.08,1.5T 200马力 L3 插电式混动,56,"快充0.5小时
慢充2.05小时",80,147,,,8挡手自一体,4531x1904x1650,SUV,206,7,1.9,,20.4,3年或10万公里,null,1904,1650,2841,1636,1642,179,5,平开门,5,2245,null,2505,56.5,492-1256,null,1498,1.5,涡轮增压,L,3,4,10.5,DOHC,200,5500,280,2000-4500,null,插电式混合动力,95#,缸内直喷,铝,铝,国VI,永磁/同步,80,109,260,null,null,80,260,227,540,单电机,后置,8年或16万公里,13.1,null,"快充接口|快充0.5小时
慢充2.05小时",低温加热|液态冷却,标配,8,手自一体变速箱(AT),电动四驱,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,实心盘式,电子驻车
力帆枫叶80V 2021款 易行版,15.98万,力帆汽车,紧凑型MPV,纯电动,2021.08,,415,快充0.5小时,80,100(136Ps),,,电动车单速变速箱,4706x1909x1699,MPV,130,null,,,14.2,1年或15万公里,null,1909,1699,2807,null,null,130,5,平开门,5,1700,null,null,,798,,,,,,,,,,,,230,,,,,,,,,永磁/同步,100,136,230,100,230,null,null,null,null,单电机,前置,5年或50万公里,null,150,快充0.5小时|快充接口,低温加热|液态冷却,null,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂,电动助力,承载式,实心盘式,电子驻车
坦克400 2021款 基本型,-,长城汽车,中型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
圆梦 2022款 两驱基本型,-,长城汽车,中型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
阿维塔 11 2022款 011 联名限量款,-,阿维塔科技,中型SUV,null,2022.08,null,null,-,null,null,,,null,null,SUV,null,null,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-|快充接口|快充0.25小时,null,null,null,null,null,null,null,null,null,null,null,null
TopCar保时捷911 2021款 Turbo S Stinger GTR Carbon Edition,-,TopCar,跑车,null,null,null,,,,null,,,null,null,跑车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
长安深蓝SL03 2022款 纯电版,-,长安汽车,中型车,纯电动,null,null,null,-,null,null,,,电动车单速变速箱,4820x1890x1480,掀背车,170,null,,null,null,null,null,1890,1480,2900,1620,1630,null,5,平开门,5,1725,null,2100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,纯电动,null,null,null,null,null,永磁/同步,190,258,320,null,null,190,320,null,null,单电机,后置,null,null,null,null,null,null,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,通风盘式,null
Bowler卫士 2022款 Challenge,-,Bowler,中大型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
威马冠军 2021款 基本型,-,威马汽车,中型SUV,null,null,null,null,-,null,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
宝马iX5 2021款 Hydrogen,-,宝马(进口),中大型SUV,null,null,null,null,-,null,null,,,null,null,SUV,null,null,,,,待查,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
奔驰GLC(海外) 2021款 GLC 200 AMG Line 澳洲版,-,奔驰(进口),中型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Posaidon奔驰E级 2019款 E 63 S 4MATIC+ Estate RS 830+,-,Posaidon,中大型车,null,null,null,,,,null,,,null,null,两厢车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Anniversary Concept 2021款 Concept,-,林肯(进口),中大型车,null,null,null,null,-,null,null,,,null,null,三厢车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
跨越星V5新能源 2021款 豪华版7座客车汇川系统,11.98万,长安跨越,微面,纯电动,2021.09,,300,"快充1.25小时
慢充8小时",null,60(82Ps),,,电动车单速变速箱,4495x1680x1990,客车,100,null,,,13.95,null,null,1680,1990,2930,1442,1455,176,5,侧滑门,7,1540,null,null,,null,,,,,,,,,,,,220,,,,,,,,,永磁/同步,60,82,220,null,null,60,220,60,220,单电机,后置,待查,41.86,null,"快充接口|快充1.25小时
慢充8小时",null,null,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,整体桥式非独立悬挂,电动助力,承载式,鼓式,手刹
欧拉芭蕾猫 2022款 401km 爱丽丝版,19.3万,长城汽车,紧凑型车,纯电动,2022.07,,401,"快充0.5小时
慢充8小时",80,126(171Ps),,,电动车单速变速箱,4401x1867x1633,掀背车,155,null,,,13.4,4年或15万公里,null,1867,1633,2750,1583,1587,135,5,平开门,5,1710,null,2085,,null,null,,,,,,,,,,,250,,,,,,,,,永磁/同步,126,171,250,126,250,null,null,null,null,单电机,前置,首任车主不限年限/里程(责任免除条款以官方为准),49.92,130.33,"快充0.5小时
慢充10小时|快充0.5小时
慢充8小时|快充接口",低温加热|液态冷却,null,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,实心盘式,电子驻车
跨越王F3 2021款 1.6L 手动短轴双排标准型DAM16KL,5.78万,长安跨越,中型皮卡,汽油,2021.08,1.6L 122马力 L4,,,,90,,,5挡手动,5080x1745x1720,两排,null,null,,,,3年或10万公里,null,1745,1720,3020,null,null,180,4,平开门,5,1480,null,null,50,,,1597,1.6,自然吸气,L,4,4,null,DOHC,122,6000,158,3900-4900,null,汽油,92#,多点电喷,未知,未知,国VI,,,,,,,,,,,,,,,,,,,5,手动变速箱(MT),null,null,双横臂式独立悬挂,整体桥式非独立悬挂,电动助力,非承载式,鼓式,手刹
英菲尼迪QX60 2022款 2.0T两驱典雅版,39.98万,东风英菲尼迪,中大型SUV,汽油,2022.02,2.0T 252马力 L4,,,,185,,,9挡手自一体,5127x2005x1767,SUV,190,null,,9.6,,4年或10万公里,null,2005,1767,2900,1698,1699,null,5,平开门,7,2075,null,null,70,326-2352,null,1997,2,涡轮增压,L,4,4,14,DOHC,252,5600,376,4400,可变压缩比,汽油,95#,混合喷射,铝,铝,国VI,,,,,,,,,,,,,,,,,,,9,手自一体变速箱(AT),null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,通风盘式,电子驻车
哈弗H6S 2022款 2.0T 悦跑版,13.89万,长城汽车,紧凑型SUV,汽油,2021.1,2.0T 211马力 L4,,,,155,,,7挡双离合,4727x1940x1729,SUV,200,6.8,6.8,,null,3年或10万公里,null,1940,1729,2738,1631,1640,160,5,平开门,5,1610,null,null,61,555-1390,null,1998,2,涡轮增压,L,4,4,null,null,211,6000-6300,325,1500-4000,VVT,汽油,92#,缸内直喷,铝,铝,国VI,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,7,湿式双离合变速箱（DCT）,null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,实心盘式,电子驻车
Posaidon奔驰A级 2020款 A 45 RS 525,-,Posaidon,紧凑型车,null,null,null,,,,null,,,null,null,两厢车,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
Manhart 奥迪RS Q8 2021款 RQ900,-,Manhart,中大型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
YOUNG光小新 2023款 302KM 原味版,-,电动屋,微型车,纯电动,null,,302,"快充0.5小时
慢充8小时",80,35(48Ps),,,电动车单速变速箱,3740x1655x1550,两厢车,100,null,,,10.3,null,null,1655,1550,2415,1420,1390,null,5,平开门,4,1080,null,null,,230-540,null,,,,,,,,,,,125,,,,,,,,,永磁/同步,35,48,125,35,125,null,null,null,null,单电机,前置,首任车主不限年限/里程（责任免除条款以官方为准）,32.56,160,"快充0.5小时
慢充8小时|快充0.6小时
慢充10.5小时|快充接口",低温加热,null,1,固定齿比变速箱,null,null,麦弗逊式独立悬挂,整体桥式非独立悬挂,电动助力,承载式,鼓式,手刹
驱逐舰 05 2022款 DM-i 55KM 舒适型,11.98万,比亚迪,紧凑型车,插电式混合动力,2022.03,1.5L 110马力 L4 插电式混动,55,慢充5.5小时,80,81,135,316,E-CVT无级变速,4780x1837x1495,三厢车,185,7.9,3.8,2.17,11.4,6年或15万公里,null,1837,1495,2718,1580,1590,null,4,平开门,5,1515,null,1890,48,null,null,1498,1.5,自然吸气,L,4,4,15.5,DOHC,110,6000,135,4500,VVT,插电式混合动力,92#,多点电喷,铝,铝,国VI,永磁/同步,132,180,316,132,316,null,null,null,null,单电机,前置,首任车主不限年限/里程（责任免除条款以官方为准）,8.3,null,"快充1.1小时
慢充5.5小时|快充接口|慢充5.5小时",低温加热|液态冷却,null,无级变速,电子无级变速箱(E-CVT),null,null,麦弗逊式独立悬挂,纵臂扭转梁式非独立悬挂,电动助力,承载式,实心盘式,电子驻车
TopCar奔驰GLC 2021款 基本型,-,TopCar,中型SUV,null,null,null,,,,null,,,null,null,SUV,null,null,,,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,,,,,,,,,,,,,,,,,,,null,null,null,null,null,null,null,null,null,null
长安UNI-V 2022款 1.5T 卓越型,10.89万,长安汽车,紧凑型车,汽油,2022.03,1.5T 188马力 L4,,,,138,,,7挡双离合,4680x1838x1430,掀背车,205,null,,6.2,,3年或10万公里,null,1838,1430,2750,1576,1586,null,5,平开门,5,1400,null,1775,51,null,null,1494,1.5,涡轮增压,L,4,4,null,DOHC,188,5500,300,1500-4000,null,汽油,92#,缸内直喷,铝,铝,国VI b,,,,,,,,,,,,,,,,,,,7,湿式双离合变速箱（DCT）,null,null,麦弗逊式独立悬挂,多连杆式独立悬挂,电动助力,承载式,实心盘式,电子驻车
